region,value
IN-AN,indo-aryan
IN-AP,dravidian
IN-AR,tibeto-burman
IN-AS,indo-aryan
IN-BR,indo-aryan
IN-CG,indo-aryan
IN-CH,indo-aryan
IN-DH,indo-aryan
IN-DL,indo-aryan
IN-GA,indo-aryan
IN-GJ,indo-aryan
IN-HP,indo-aryan
IN-HR,indo-aryan
IN-JH,indo-aryan
IN-JK,indo-aryan
IN-KA,dravidian
IN-KL,dravidian
IN-LA,tibeto-burman
IN-LD,dravidian
IN-MH,indo-aryan
IN-ML,austroasiatic
IN-MN,tibeto-burman
IN-MP,indo-aryan
IN-MZ,tibeto-burman
IN-NL,tibeto-burman
IN-OD,indo-aryan
IN-PB,indo-aryan
IN-PY,dravidian
IN-RJ,indo-aryan
IN-SK,indo-aryan
IN-TN,dravidian
IN-TR,indo-aryan
IN-TS,dravidian
IN-UK,indo-aryan
IN-UP,indo-aryan
IN-WB,indo-aryan
