region,value
IN-AN,380581
IN-AP,49577103
IN-AR,1383727
IN-AS,31205576
IN-BR,104099452
IN-CG,25545198
IN-CH,1055450
IN-DH,586956
IN-DL,16787941
IN-GA,1458545
IN-GJ,60439692
IN-HP,6864602
IN-HR,25351462
IN-JH,32988134
IN-JK,12267013
IN-KA,61095297
IN-KL,33406061
IN-LA,274289
IN-LD,64473
IN-MH,112374333
IN-ML,2966889
IN-MN,2855794
IN-MP,72626809
IN-MZ,1097206
IN-NL,1978502
IN-OD,41974218
IN-PB,27743338
IN-PY,1247953
IN-RJ,68548437
IN-SK,610577
IN-TN,72147030
IN-TR,3673917
IN-TS,35003674
IN-UK,10086292
IN-UP,199812341
IN-WB,91276115
