region,value
IN-AN,southern
IN-AP,southern
IN-AR,north-eastern
IN-AS,north-eastern
IN-BR,eastern
IN-CG,central
IN-CH,northern
IN-DH,western
IN-DL,northern
IN-GA,western
IN-GJ,western
IN-HP,northern
IN-HR,northern
IN-JH,eastern
IN-JK,northern
IN-KA,southern
IN-KL,southern
IN-LA,northern
IN-LD,southern
IN-MH,western
IN-ML,north-eastern
IN-MN,north-eastern
IN-MP,central
IN-MZ,north-eastern
IN-NL,north-eastern
IN-OD,eastern
IN-PB,northern
IN-PY,southern
IN-RJ,northern
IN-SK,north-eastern
IN-TN,southern
IN-TR,north-eastern
IN-TS,southern
IN-UK,central
IN-UP,central
IN-WB,eastern
